Time,IE,IT,US,TW,KR
07.06.2021,261.1511723,229.2782216,396.09,476.76,427.08
08.06.2021,229.0330077,228.478646,399.21,473.56,429.15
09.06.2021,226.315473,219.916681,399.21,474.48,432.45
10.06.2021,171.3590888,212.3755587,404.8,465.39,434.37
11.06.2021,215.3782145,210.36068,386.61,456.25,429.04
12.06.2021,359.6073477,188.4317375,404.92,455.1,411.8
13.06.2021,336.0553168,179.9586325,406.07,452.82,410.94
14.06.2021,317.2808482,227.8974999,409.8,456.63,439.28
15.06.2021,258.8024465,240.5947153,421.67,459.47,443.28
16.06.2021,314.2519144,252.8261955,403.7,467.63,440.01
17.06.2021,322.4529184,249.8248134,397.52,465.3,441.58
18.06.2021,425.1372561,250.2292288,398.31,463.84,437.57
19.06.2021,342.4669024,215.4983174,396.57,467.78,419.31
20.06.2021,330.7230916,210.8273956,377.37,468.56,417.71
21.06.2021,213.6874457,240.5836998,377.37,471.84,437.54
22.06.2021,414.8354183,247.7585125,397.21,475.93,434.47
23.06.2021,393.0519963,262.2689035,362.76,468.79,433.58
24.06.2021,289.6369323,261.1241811,371.36,465.8,431.41
25.06.2021,219.2421615,261.0450218,386.58,469.03,430
26.06.2021,271.5517024,250.6949681,388.39,470.82,412.96
27.06.2021,293.2083304,249.5982576,412.42,470.82,413.48
28.06.2021,366.6316597,263.2363553,431.43,474.98,433.92
29.06.2021,392.8946263,257.5506892,442.59,471.46,435.85
30.06.2021,483.3350275,257.9862633,440.26,465.13,437.04
01.07.2021,477.5395228,234.0246946,434.72,472.9,439.31
02.07.2021,400.5520341,238.3143326,422.07,478.18,437.22
03.07.2021,344.9881052,228.6057382,408.21,482.73,418.54
04.07.2021,359.9216838,214.8721127,398.14,487.12,411.51
05.07.2021,389.5619176,235.4143587,398.14,487.69,430.38
06.07.2021,281.7023674,263.7450158,398.14,486.19,434.36
07.07.2021,351.3147676,274.5166724,398.14,484.26,434.57
08.07.2021,460.1358757,280.5731077,431.48,481.66,436.74
09.07.2021,402.7100588,256.0519827,411.01,482.7,432.32
10.07.2021,444.2923933,222.7995363,403.43,483.75,419.29
11.07.2021,392.78397,202.3235549,406.12,489.34,417.64
12.07.2021,406.6650451,258.465036,427.23,479.24,451.49
13.07.2021,411.4680733,258.9464779,412.03,481.07,451.64
14.07.2021,354.630066,223.8740817,402.19,478.94,454.12
15.07.2021,402.9458053,228.7576268,411.01,486.21,450.16
16.07.2021,429.8626194,242.7637343,422.44,483.6,444.69
17.07.2021,429.1951655,237.8598371,417.7,482.28,433.49
18.07.2021,434.3622475,195.6123119,427.82,488.95,432.37
19.07.2021,443.7611354,238.3402725,435.06,485.3,449.98
20.07.2021,437.9479259,249.4889582,432.21,481.93,452.02
21.07.2021,378.352793,264.0758936,428.39,471.53,450.4
22.07.2021,354.8547876,263.2255041,417.58,471.05,444.82
23.07.2021,322.5679346,270.4417745,412.28,465.86,440.37
24.07.2021,347.9598272,245.1167006,418.33,464.11,426.78
25.07.2021,371.2416539,229.4186016,432.07,473,422.83
26.07.2021,339.4408628,256.8949072,442.76,473.56,441.78
27.07.2021,273.5367623,268.2753487,439.63,485.21,442.86
28.07.2021,176.1056372,266.5696328,438.98,487.57,442.19
29.07.2021,283.2826818,266.8525513,438.17,477.46,443.34
30.07.2021,201.3334673,271.6689362,436.03,476.75,444.03
31.07.2021,324.5370298,250.9331874,427.85,488.1,427.75
01.08.2021,295.9550709,207.1382385,427.85,489.26,422.73
02.08.2021,399.9130538,244.1925285,432.77,482.51,429.27
03.08.2021,414.8062542,246.6149611,431.8,470.28,432.34
04.08.2021,330.940674,252.1856236,424.27,472.47,434.16
05.08.2021,202.1431348,208.0910272,424.27,478.63,440
06.08.2021,136.9974828,216.7966628,410.61,487.08,436.34
07.08.2021,114.7015598,224.4345048,397.49,498.01,427.11
08.08.2021,207.2927366,195.5270834,403.39,492.69,423.41
